Year,Date,Event,Heat,Place,Name,Country,Mark,Reaction Time (s),Medal,Time,Qualified or Season Best,Country
2000,22-Sep,Men 100,1,1,Aziz ZAKARI,GHAGHA,10.31 Q,0.317,,10.31,Q,GHA
2000,22-Sep,Men 100,1,2,Patrick JOHNSON,AUSAUS,10.31 Q,0.152,,10.31,Q,AUS
2000,22-Sep,Men 100,1,3,Venancio JOSÉ,ESPESP,10.36 Q,0.169,,10.36,Q,ESP
2000,22-Sep,Men 100,1,4,Martin LACHKOVICS,AUTAUT,10.41 q,0.15,,10.41,q,AUT
2000,22-Sep,Men 100,1,5,Nicolas MACROZONARIS,CANCAN,10.45,0.189,,10.45,,CAN
2000,22-Sep,Men 100,1,6,Jamal Abd. AL-SAFFAR,KSAKSA,10.75,0.165,,10.75,,KSA
2000,22-Sep,Men 100,1,7,Luong Tich THIEN,VIEVIE,10.85,0.245,,10.85,,VIE
2000,22-Sep,Men 100,1,8,Pa Modou GAI,GAMGAM,11.03,0.173,,11.03,,GAM
2000,22-Sep,Men 100,1,9,Mario BONELLO,MLTMLT,11.06,0.157,,11.06,,MLT
2000,22-Sep,Men 100,2,1,Marcin NOWAK,POLPOL,10.27 Q,0.164,,10.27,Q,POL
2000,22-Sep,Men 100,2,2,Sunday EMMANUEL,NGRNGR,10.31 Q,0.152,,10.31,Q,NGR
2000,22-Sep,Men 100,2,3,Freddy MAYOLA,CUBCUB,10.33 Q,0.155,,10.33,Q,CUB
2000,22-Sep,Men 100,2,4,Sayon COOPER,LBRLBR,10.33 q,0.168,,10.33,q,LBR
2000,22-Sep,Men 100,2,5,David PATROS,FRAFRA,10.38 q,0.258,,10.38,q,FRA
2000,22-Sep,Men 100,2,6,Chiang Wai HUNG,HKGHKG,10.64,0.2,,10.64,,HKG
2000,22-Sep,Men 100,2,7,Teymur GASIMOV,AZEAZE,10.97,0.227,,10.97,,AZE
2000,22-Sep,Men 100,2,8,Haseri ASLI,BRUBRU,11.11,0.259,,11.11,,BRU
2000,22-Sep,Men 100,2,9,Sisomphone VONGPHAKDY,LAOLAO,11.47,0.221,,11.47,,LAO
